172030, Attitude, Roll,0.089383644, Accelerometer (raw), x,0.102432251
172030, Attitude, Yaw,-1.21224366, Accelerometer (raw), y,-0.324768066
172030, Attitude, Pitch,0.33226945, Accelerometer (raw), z,-0.926757813
172030, Attitude, Roll,0.092198647, Accelerometer (raw), x,0.084899902
172030, Attitude, Yaw,-1.209252638, Accelerometer (raw), y,-0.33631897
172030, Attitude, Pitch,0.327530487, Accelerometer (raw), z,-0.924789429
172030, Attitude, Roll,0.094926234, Accelerometer (raw), x,0.083114624
172030, Attitude, Yaw,-1.236940814, Accelerometer (raw), y,-0.325531006
172030, Attitude, Pitch,0.311985626, Accelerometer (raw), z,-0.908035278
172030, Attitude, Roll,0.09909693, Accelerometer (raw), x,0.10168457
172030, Attitude, Yaw,-1.240286591, Accelerometer (raw), y,-0.398757935
172030, Attitude, Pitch,0.312821502, Accelerometer (raw), z,-0.934036255
172030, Attitude, Roll,0.100799011, Accelerometer (raw), x,0.105224609
172030, Attitude, Yaw,-1.240616517, Accelerometer (raw), y,-0.318649292
172030, Attitude, Pitch,0.314424022, Accelerometer (raw), z,-0.962356567
172030, Attitude, Roll,0.101114698, Accelerometer (raw), x,0.099578857
172030, Attitude, Yaw,-1.240737867, Accelerometer (raw), y,-0.315505981
172030, Attitude, Pitch,0.3159108, Accelerometer (raw), z,-0.945953369
172030, Attitude, Roll,0.097510385, Accelerometer (raw), x,0.089385986
172030, Attitude, Yaw,-1.243430388, Accelerometer (raw), y,-0.301483154
172030, Attitude, Pitch,0.319738985, Accelerometer (raw), z,-0.930023193
172030, Attitude, Roll,0.093663902, Accelerometer (raw), x,0.092987061
172030, Attitude, Yaw,-1.243929217, Accelerometer (raw), y,-0.294540405
172030, Attitude, Pitch,0.320561344, Accelerometer (raw), z,-0.928512573
172031, Attitude, Roll,0.088253571, Accelerometer (raw), x,0.089675903
172031, Attitude, Yaw,-1.241014609, Accelerometer (raw), y,-0.307937622
172031, Attitude, Pitch,0.322402688, Accelerometer (raw), z,-0.946655273
172031, Attitude, Roll,0.079137504, Accelerometer (raw), x,0.079208374
172031, Attitude, Yaw,-1.229088657, Accelerometer (raw), y,-0.318527222
172031, Attitude, Pitch,0.329009935, Accelerometer (raw), z,-0.935882568
172031, Attitude, Roll,0.073616641, Accelerometer (raw), x,0.070281982
172031, Attitude, Yaw,-1.225444829, Accelerometer (raw), y,-0.316543579
172031, Attitude, Pitch,0.330188292, Accelerometer (raw), z,-0.950119019
172031, Attitude, Roll,0.071822408, Accelerometer (raw), x,0.063903809
172031, Attitude, Yaw,-1.223048511, Accelerometer (raw), y,-0.31678772
172031, Attitude, Pitch,0.332167826, Accelerometer (raw), z,-0.938873291
172031, Attitude, Roll,0.069281406, Accelerometer (raw), x,0.06350708
172031, Attitude, Yaw,-1.218964455, Accelerometer (raw), y,-0.324356079
172031, Attitude, Pitch,0.332271191, Accelerometer (raw), z,-0.934707642
172031, Attitude, Roll,0.069358072, Accelerometer (raw), x,0.063278198
172031, Attitude, Yaw,-1.220493209, Accelerometer (raw), y,-0.32043457
172031, Attitude, Pitch,0.335282205, Accelerometer (raw), z,-0.931655884
172031, Attitude, Roll,0.069963413, Accelerometer (raw), x,0.070388794
172031, Attitude, Yaw,-1.219046389, Accelerometer (raw), y,-0.324874878
172031, Attitude, Pitch,0.336579397, Accelerometer (raw), z,-0.926956177
172031, Attitude, Roll,0.070474216, Accelerometer (raw), x,0.063369751
