163951, Attitude, Roll,0.10944391, Accelerometer (raw), x,0.086654663
163951, Attitude, Yaw,0.677120819, Accelerometer (raw), y,-0.224838257
163951, Attitude, Pitch,0.256038431, Accelerometer (raw), z,-0.926010132
163951, Attitude, Roll,0.11916511, Accelerometer (raw), x,0.103622437
163951, Attitude, Yaw,0.675171227, Accelerometer (raw), y,-0.180450439
163951, Attitude, Pitch,0.194551612, Accelerometer (raw), z,-0.845230103
163951, Attitude, Roll,0.088527243, Accelerometer (raw), x,0.148529053
163951, Attitude, Yaw,0.678631965, Accelerometer (raw), y,-0.058197021
163951, Attitude, Pitch,0.085933676, Accelerometer (raw), z,-0.972076416
164051, Attitude, Roll,0.052793262, Accelerometer (raw), x,-0.024414063
164051, Attitude, Yaw,0.665700241, Accelerometer (raw), y,-0.022277832
164051, Attitude, Pitch,0.038688818, Accelerometer (raw), z,-1.031341553
164051, Attitude, Roll,0.036540034, Accelerometer (raw), x,0.019683838
164051, Attitude, Yaw,0.649599102, Accelerometer (raw), y,-0.008880615
164051, Attitude, Pitch,0.092237656, Accelerometer (raw), z,-0.956985474
164051, Attitude, Roll,0.025020535, Accelerometer (raw), x,0.059158325
164051, Attitude, Yaw,0.667117904, Accelerometer (raw), y,-0.236312866
164051, Attitude, Pitch,0.205247081, Accelerometer (raw), z,-0.930084229
164051, Attitude, Roll,0.079624769, Accelerometer (raw), x,0.059448242
164051, Attitude, Yaw,0.707456056, Accelerometer (raw), y,-0.225753784
164051, Attitude, Pitch,0.200554583, Accelerometer (raw), z,-0.980041504
164051, Attitude, Roll,0.088284295, Accelerometer (raw), x,0.106262207
164051, Attitude, Yaw,0.700813463, Accelerometer (raw), y,-0.194824219
164051, Attitude, Pitch,0.214401756, Accelerometer (raw), z,-0.955505371
164051, Attitude, Roll,0.089409898, Accelerometer (raw), x,0.095092773
164051, Attitude, Yaw,0.692156781, Accelerometer (raw), y,-0.215560913
164051, Attitude, Pitch,0.216384486, Accelerometer (raw), z,-0.947570801
164051, Attitude, Roll,0.094476917, Accelerometer (raw), x,0.110153198
164051, Attitude, Yaw,0.695263364, Accelerometer (raw), y,-0.204696655
164051, Attitude, Pitch,0.203716464, Accelerometer (raw), z,-0.950378418
164051, Attitude, Roll,0.091854948, Accelerometer (raw), x,0.097381592
164051, Attitude, Yaw,0.696467071, Accelerometer (raw), y,-0.196182251
164051, Attitude, Pitch,0.201406594, Accelerometer (raw), z,-0.977432251
164051, Attitude, Roll,0.087572764, Accelerometer (raw), x,0.082946777
164051, Attitude, Yaw,0.698561065, Accelerometer (raw), y,-0.205963135
164051, Attitude, Pitch,0.204509299, Accelerometer (raw), z,-0.97416687
164051, Attitude, Roll,0.089614112, Accelerometer (raw), x,0.09236145
164051, Attitude, Yaw,0.696207982, Accelerometer (raw), y,-0.197570801
164051, Attitude, Pitch,0.208649204, Accelerometer (raw), z,-0.958816528
164151, Attitude, Roll,0.089727711, Accelerometer (raw), x,0.083084106
164151, Attitude, Yaw,0.697757451, Accelerometer (raw), y,-0.207946777
164151, Attitude, Pitch,0.205288913, Accelerometer (raw), z,-0.955810547
164151, Attitude, Roll,0.088996844, Accelerometer (raw), x,0.092010498
164151, Attitude, Yaw,0.696174098, Accelerometer (raw), y,-0.194900513
164151, Attitude, Pitch,0.202115593, Accelerometer (raw), z,-0.95803833
164151, Attitude, Roll,0.089592796, Accelerometer (raw), x,0.094528198
164151, Attitude, Yaw,0.696481353, Accelerometer (raw), y,-0.182022095
164151, Attitude, Pitch,0.199164477, Accelerometer (raw), z,-0.971496582
164151, Attitude, Roll,0.088931062, Accelerometer (raw), x,0.084991455
164151, Attitude, Yaw,0.693835223, Accelerometer (raw), y,-0.18157959
164151, Attitude, Pitch,0.194549646, Accelerometer (raw), z,-0.982635498
164151, Attitude, Roll,0.091085958, Accelerometer (raw), x,0.074371338
164151, Attitude, Yaw,0.695038565, Accelerometer (raw), y,-0.18989563
164151, Attitude, Pitch,0.191051952, Accelerometer (raw), z,-0.958740234
164151, Attitude, Roll,0.088111315, Accelerometer (raw), x,0.07975769
164151, Attitude, Yaw,0.695827169, Accelerometer (raw), y,-0.198913574
164151, Attitude, Pitch,0.194792142, Accelerometer (raw), z,-0.960891724
164151, Attitude, Roll,0.08657039, Accelerometer (raw), x,0.086212158
164151, Attitude, Yaw,0.691985975, Accelerometer (raw), y,-0.177078247
164151, Attitude, Pitch,0.192955126, Accelerometer (raw), z,-0.974777222
164151, Attitude, Roll,0.086423185, Accelerometer (raw), x,0.08770752
164151, Attitude, Yaw,0.689995326, Accelerometer (raw), y,-0.189926147
164151, Attitude, Pitch,0.194541201, Accelerometer (raw), z,-0.961791992
164151, Attitude, Roll,0.086311599, Accelerometer (raw), x,0.079956055
164151, Attitude, Yaw,0.68885448, Accelerometer (raw), y,-0.187576294
164151, Attitude, Pitch,0.194627154, Accelerometer (raw), z,-0.94708252
164151, Attitude, Roll,0.083851806, Accelerometer (raw), x,0.079605103
164151, Attitude, Yaw,0.687527616, Accelerometer (raw), y,-0.175460815
164151, Attitude, Pitch,0.19605047, Accelerometer (raw), z,-0.979721069
164251, Attitude, Roll,0.084286644, Accelerometer (raw), x,0.082275391
164251, Attitude, Yaw,0.68537907, Accelerometer (raw), y,-0.185699463
164251, Attitude, Pitch,0.19575027, Accelerometer (raw), z,-0.968353271
164251, Attitude, Roll,0.085787153, Accelerometer (raw), x,0.080200195
164251, Attitude, Yaw,0.685081966, Accelerometer (raw), y,-0.201629639
164251, Attitude, Pitch,0.199540568, Accelerometer (raw), z,-0.947097778
164251, Attitude, Roll,0.086483143, Accelerometer (raw), x,0.078857422
164251, Attitude, Yaw,0.684741553, Accelerometer (raw), y,-0.19619751
164251, Attitude, Pitch,0.202597785, Accelerometer (raw), z,-0.96824646
164251, Attitude, Roll,0.08254506, Accelerometer (raw), x,0.067062378
164251, Attitude, Yaw,0.68655887, Accelerometer (raw), y,-0.194625854
164251, Attitude, Pitch,0.202396727, Accelerometer (raw), z,-0.97416687
164251, Attitude, Roll,0.071499335, Accelerometer (raw), x,0.07220459
164251, Attitude, Yaw,0.690613453, Accelerometer (raw), y,-0.192581177
164251, Attitude, Pitch,0.201460782, Accelerometer (raw), z,-0.970184326
164251, Attitude, Roll,0.062111975, Accelerometer (raw), x,0.050369263
164251, Attitude, Yaw,0.697354298, Accelerometer (raw), y,-0.201324463
164251, Attitude, Pitch,0.200158294, Accelerometer (raw), z,-0.956253052
164251, Attitude, Roll,0.056463981, Accelerometer (raw), x,0.056213379
164251, Attitude, Yaw,0.702091229, Accelerometer (raw), y,-0.192932129
164251, Attitude, Pitch,0.194457, Accelerometer (raw), z,-0.972885132
164251, Attitude, Roll,0.060109756, Accelerometer (raw), x,0.065261841
164251, Attitude, Yaw,0.704787083, Accelerometer (raw), y,-0.186630249
164251, Attitude, Pitch,0.184385039, Accelerometer (raw), z,-0.951522827
164251, Attitude, Roll,0.061452243, Accelerometer (raw), x,0.072906494
164251, Attitude, Yaw,0.704305633, Accelerometer (raw), y,-0.171142578
164251, Attitude, Pitch,0.180243396, Accelerometer (raw), z,-0.977615356
164251, Attitude, Roll,0.060638998, Accelerometer (raw), x,0.05291748
164251, Attitude, Yaw,0.70533927, Accelerometer (raw), y,-0.180847168
164251, Attitude, Pitch,0.179393062, Accelerometer (raw), z,-0.982070923
164351, Attitude, Roll,0.058195305, Accelerometer (raw), x,0.059143066
164351, Attitude, Yaw,0.706677576, Accelerometer (raw), y,-0.181549072
164351, Attitude, Pitch,0.181743323, Accelerometer (raw), z,-0.97038269
164351, Attitude, Roll,0.054583091, Accelerometer (raw), x,0.054519653
164351, Attitude, Yaw,0.708183996, Accelerometer (raw), y,-0.185043335
164351, Attitude, Pitch,0.189580997, Accelerometer (raw), z,-0.964508057
164351, Attitude, Roll,0.059574445, Accelerometer (raw), x,0.056488037
164351, Attitude, Yaw,0.709535491, Accelerometer (raw), y,-0.166702271
164351, Attitude, Pitch,0.181859377, Accelerometer (raw), z,-0.971435547
164351, Attitude, Roll,0.062245175, Accelerometer (raw), x,0.059417725
164351, Attitude, Yaw,0.71076979, Accelerometer (raw), y,-0.187393188
164351, Attitude, Pitch,0.176756429, Accelerometer (raw), z,-0.964401245
164351, Attitude, Roll,0.06310938, Accelerometer (raw), x,0.064468384
164351, Attitude, Yaw,0.709289591, Accelerometer (raw), y,-0.175491333
164351, Attitude, Pitch,0.173391231, Accelerometer (raw), z,-0.974334717
164351, Attitude, Roll,0.063786555, Accelerometer (raw), x,0.06098938
164351, Attitude, Yaw,0.709893797, Accelerometer (raw), y,-0.176559448
164351, Attitude, Pitch,0.174688638, Accelerometer (raw), z,-0.97215271
164351, Attitude, Roll,0.062831312, Accelerometer (raw), x,0.061340332
164351, Attitude, Yaw,0.711335804, Accelerometer (raw), y,-0.175201416
164351, Attitude, Pitch,0.175498366, Accelerometer (raw), z,-0.97038269
164351, Attitude, Roll,0.061558324, Accelerometer (raw), x,0.054367065
164351, Attitude, Yaw,0.711592598, Accelerometer (raw), y,-0.168899536
164351, Attitude, Pitch,0.170921647, Accelerometer (raw), z,-0.981735229
164351, Attitude, Roll,0.059402729, Accelerometer (raw), x,0.048370361
164351, Attitude, Yaw,0.713052156, Accelerometer (raw), y,-0.162902832
164351, Attitude, Pitch,0.167516111, Accelerometer (raw), z,-0.984802246
164351, Attitude, Roll,0.058825612, Accelerometer (raw), x,0.063446045
164351, Attitude, Yaw,0.715151853, Accelerometer (raw), y,-0.153381348
164351, Attitude, Pitch,0.168087998, Accelerometer (raw), z,-0.973892212
164451, Attitude, Roll,0.059679319, Accelerometer (raw), x,0.062011719
164451, Attitude, Yaw,0.715310831, Accelerometer (raw), y,-0.161895752
164451, Attitude, Pitch,0.167967237, Accelerometer (raw), z,-0.973419189
164451, Attitude, Roll,0.058359654, Accelerometer (raw), x,0.059753418
164451, Attitude, Yaw,0.718074271, Accelerometer (raw), y,-0.158126831
164451, Attitude, Pitch,0.169223571, Accelerometer (raw), z,-0.980560303
164451, Attitude, Roll,0.062341353, Accelerometer (raw), x,0.058425903
164451, Attitude, Yaw,0.722484854, Accelerometer (raw), y,-0.175964355
164451, Attitude, Pitch,0.170653499, Accelerometer (raw), z,-0.958969116
164451, Attitude, Roll,0.063767159, Accelerometer (raw), x,0.055648804
164451, Attitude, Yaw,0.722261114, Accelerometer (raw), y,-0.161422729
164451, Attitude, Pitch,0.171176929, Accelerometer (raw), z,-0.957000732
164451, Attitude, Roll,0.063318969, Accelerometer (raw), x,0.04864502
164451, Attitude, Yaw,0.722828046, Accelerometer (raw), y,-0.183792114
164451, Attitude, Pitch,0.1703358, Accelerometer (raw), z,-0.961151123
164451, Attitude, Roll,0.059073164, Accelerometer (raw), x,0.048995972
164451, Attitude, Yaw,0.722986904, Accelerometer (raw), y,-0.18687439
164451, Attitude, Pitch,0.171333181, Accelerometer (raw), z,-0.983642578
164451, Attitude, Roll,0.054422824, Accelerometer (raw), x,0.045684814
164451, Attitude, Yaw,0.719426417, Accelerometer (raw), y,-0.164047241
164451, Attitude, Pitch,0.171269658, Accelerometer (raw), z,-0.96736145
164451, Attitude, Roll,0.051258604, Accelerometer (raw), x,0.032089233
164451, Attitude, Yaw,0.719120815, Accelerometer (raw), y,-0.163818359
164451, Attitude, Pitch,0.171609731, Accelerometer (raw), z,-0.988723755
164451, Attitude, Roll,0.045249696, Accelerometer (raw), x,0.053283691
164451, Attitude, Yaw,0.720781486, Accelerometer (raw), y,-0.177810669
164451, Attitude, Pitch,0.169898902, Accelerometer (raw), z,-0.980773926
164451, Attitude, Roll,0.041306575, Accelerometer (raw), x,0.050567627
164451, Attitude, Yaw,0.719924249, Accelerometer (raw), y,-0.146499634
164451, Attitude, Pitch,0.169338993, Accelerometer (raw), z,-0.980773926
164551, Attitude, Roll,0.042508647, Accelerometer (raw), x,0.049545288
164551, Attitude, Yaw,0.723170412, Accelerometer (raw), y,-0.182098389
164551, Attitude, Pitch,0.168127732, Accelerometer (raw), z,-0.93522644
164551, Attitude, Roll,0.031054648, Accelerometer (raw), x,0.041900635
